,,,,,,
,,,,,,
,2019,,,,,
1281 Lund,38.8,,,,,
Total,,,,,,
1282 Landskrona,41.3,,,,,
Total,,,,,,
1283 Helsingborg,40.7,,,,,
Total,,,,,,
1284 Höganäs,45.0,,,,,
Total,,,,,,
1285 Eslöv,40.6,,,,,
Total,,,,,,
1286 Ystad,45.8,,,,,
Total,,,,,,
1287 Trelleborg,42.5,,,,,
Total,,,,,,
1290 Kristianstad,42.1,,,,,
Total,,,,,,
1291 Simrishamn,49.4,,,,,
Total,,,,,,
1292 Ängelholm,43.7,,,,,
Total,,,,,,
1293 Hässleholm,43.4,,,,,
Total,,,,,,
1315 Hylte,42.2,,,,,
Total,,,,,,
1380 Halmstad,41.4,,,,,
Total,,,,,,
1381 Laholm,44.0,,,,,
Total,,,,,,
1382 Falkenberg,43.4,,,,,
Total,,,,,,
1383 Varberg,43.3,,,,,
Total,,,,,,
1384 Kungsbacka,41.2,,,,,
Total,,,,,,
1401 Härryda,39.3,,,,,
Total,,,,,,
1402 Partille,39.6,,,,,
Total,,,,,,
1407 Öckerö,44.7,,,,,
Total,,,,,,
1415 Stenungsund,41.3,,,,,
Total,,,,,,
1419 Tjörn,45.7,,,,,
Total,,,,,,
1421 Orust,47.5,,,,,
Total,,,,,,
1427 Sotenäs,49.4,,,,,
Total,,,,,,
1430 Munkedal,43.8,,,,,
Total,,,,,,
1435 Tanum,46.3,,,,,
Total,,,,,,
1438 Dals-Ed,45.0,,,,,
Total,,,,,,
1439 Färgelanda,44.5,,,,,
Total,,,,,,
1440 Ale,39.4,,,,,
Total,,,,,,
1441 Lerum,39.6,,,,,
Total,,,,,,
1442 Vårgårda,41.4,,,,,
Total,,,,,,
1443 Bollebygd,41.6,,,,,
Total,,,,,,
1444 Grästorp,45.1,,,,,
Total,,,,,,
1445 Essunga,44.4,,,,,
Total,,,,,,
1446 Karlsborg,46.8,,,,,
Total,,,,,,
1447 Gullspång,48.3,,,,,
Total,,,,,,
1452 Tranemo,43.8,,,,,
Total,,,,,,
1460 Bengtsfors,46.6,,,,,
Total,,,,,,
1461 Mellerud,45.5,,,,,
Total,,,,,,
1462 Lilla Edet,41.4,,,,,
Total,,,,,,
1463 Mark,43.0,,,,,
Total,,,,,,
1465 Svenljunga,44.3,,,,,
Total,,,,,,
1466 Herrljunga,43.9,,,,,
Total,,,,,,
1470 Vara,43.8,,,,,
Total,,,,,,
