Code,Seat,County,Population,Land area (km2),Density (people/km2),Municipality,Average_age,Latitude,Longitude,pharmacy_count
1262,Lomma,Skåne County,22498,55.52,405.22,Lomma,41.2,55.69890595,13.0468054732932,38
2085,Ludvika,Dalarna County,25643,1490.42,17.21,Ludvika,43.3,60.20869025,14.7016934665482,0
2580,Luleå,Norrbotten County,75361,2094.18,35.99,Lulea,42.1,65.5831187,22.1459535,5
1281,Lund,Skåne County,114061,427.23,266.98,Lund,38.8,55.7029296,13.1929449,21
2481,Lycksele,Västerbotten County,12292,5518.49,2.23,Lycksele,43.5,64.6569455,18.4170775955103,0
1484,Lysekil,Västra Götaland County,14397,208.45,69.07,Lysekil,47.2,58.33451785,11.4560607313738,1
1280,Malmö,Skåne County,336226,156.87,1985.98,Malmo,38.4,55.6052931,13.0001566,50
2023,Malung,Dalarna County,10051,4085.06,2.46,Malung-Salen,45.5,60.6864461,13.7145867,0
2418,Malå,Västerbotten County,3170,1598.95,1.98,Mala,45.5,65.2531766,18.7173616442947,1
1493,Mariestad,Västra Götaland County,23769,601.18,39.54,Mariestad,44.8,58.7093225,13.8228754,1
1463,Kinna,Västra Götaland County,33689,929.25,36.25,Mark,43.0,57.5080076,12.6970568,1
767,Markaryd,Kronoberg County,9504,517.19,18.38,Markaryd,43.7,56.54017435,13.634391885224,1
1461,Mellerud,Västra Götaland County,8913,516.80,17.25,Mellerud,45.5,58.6875868,12.5334482942016,1
586,Mjölby,Östergötland County,26309,546.04,48.18,Mjolby,41.9,58.3036477,15.1762274938875,1
2062,Mora,Dalarna County,20011,2812.56,7.11,Mora,45.4,61.0082091,14.5431333,1
583,Motala,Östergötland County,42126,983.49,42.83,Motala,43.3,58.5420395,15.041261,2
642,Mullsjö,Jönköping County,7013,200.16,35.04,Mullsjo,42.8,57.94232565,13.8166383358514,0
1430,Munkedal,Västra Götaland County,10220,634.01,16.12,Munkedal,43.8,58.60817715,11.6864513490238,0
1762,Munkfors,Värmland County,3665,141.58,25.89,Munkfors,47.0,59.81458065,13.4973190577028,0
1481,Mölndal,Västra Götaland County,61887,145.84,424.35,Molndal,39.1,57.6564918,12.0153085,50
861,Mönsterås,Kalmar County,12895,599.46,21.51,Monsteras,44.6,57.060924,16.4772558731873,1
840,Mörbylånga,Kalmar County,14299,666.79,21.44,Morbylanga,44.8,56.3324097,16.5770101067811,0
182,Nacka,Stockholm County,94215,95.12,990.49,Nacka,39.1,59.29998985,18.2250345695921,50
1884,Nora,Örebro County,10391,618.49,16.80,Nora,44.7,59.54263455,14.8892848971822,1
1962,Norberg,Västmanland County,5589,417.80,13.38,Norberg,45.5,60.06174775,15.9549100159866,2
2132,Bergsjö,Gävleborg County,9515,1370.64,6.94,Nordanstig,45.2,61.9837757,17.0583699,0
2401,Nordmaling,Västerbotten County,7019,1229.42,5.71,Nordmaling,45.4,63.49211235,19.5357188054713,0
581,Norrköping,Östergötland County,133444,1495.05,89.26,Norrkoping,40.7,58.5909124,16.1903511,14
188,Norrtälje,Stockholm County,56845,2016.04,28.20,Norrtalje,45.4,59.75330915,18.9056534605612,4
2417,Norsjö,Västerbotten County,4168,1739.45,2.40,Norsjo,46.0,64.9331627,19.4976041316312,0
881,Nybro,Kalmar County,19466,1171.69,16.61,Nybro,44.1,56.8369395,15.8283091196592,2
140,Nykvarn,Stockholm County,9502,152.76,62.20,Nykvarn,39.5,59.19652695,17.4080806738623,3
480,Nyköping,Södermanland County,52835,1420.84,37.19,Nykoping,43.1,58.7545409,17.0120656,8
192,Nynäshamn,Stockholm County,26681,358.76,74.37,Nynashamn,42.7,58.9056457,17.9470987,3
682,Nässjö,Jönköping County,29470,930.29,31.68,Nassjo,41.6,57.6530377,14.6981554,1
2101,Ockelbo,Gävleborg County,5825,1064.97,5.47,Ockelbo,46.0,60.9197006,16.5426709711809,0
1060,Olofström,Blekinge County,12906,389.79,33.11,Olofstrom,45.1,56.3253157,14.5572286072347,0
2034,Orsa,Dalarna County,6837,1730.85,3.95,Orsa,46.0,61.3325441,14.7196088938122,0
1421,Henån,Västra Götaland County,15108,386.52,39.09,Orust,47.5,63.3105345,13.0738258,1
