Municipality_code,Municipality,Average_age
2284, Ornskoldsvik,43.7
2303, Ragunda,46.8
2305, Bracke,46.9
2309, Krokom,41.8
2313, Stromsund,46.7
2321, Are,40.1
2326, Berg,46.3
2361, Harjedalen,47.2
2380, Ostersund,41.9
2401, Nordmaling,45.4
2403, Bjurholm,46.5
2404, Vindeln,45.5
2409, Robertsfors,45.0
2417, Norsjo,46.0
2418, Mala,45.5
2421, Storuman,46.9
2422, Sorsele,47.1
2425, Dorotea,48.5
2460, Vannas,41.6
2462, Vilhelmina,45.0
2463, Asele,47.5
2480, Umea,38.9
2481, Lycksele,43.5
2482, Skelleftea,43.6
2505, Arvidsjaur,45.7
2506, Arjeplog,47.2
2510, Jokkmokk,47.0
2513, Overkalix,49.7
2514, Kalix,47.0
2518, Overtornea,50.0
2521, Pajala,48.6
2523, Gallivare,45.2
2560, alvsbyn,44.8
2580, Lulea,42.1
2581, Pitea,43.4
2582, Boden,44.3
2583, Haparanda,46.3
2584, Kiruna,42.5
